target_vocab_size,boundary_recall_difference,crossing_rate_difference,consistency_difference,fertility_difference
2000,0.512,-0.099,0.08620000000000005,0.14679999999999982
4000,0.5694,-0.10919999999999999,0.10629999999999995,0.17810000000000015
8000,0.5979000000000001,-0.10800000000000001,0.11170000000000002,0.19620000000000015
12000,0.5905,-0.10330000000000002,0.10899999999999999,0.19940000000000002
16000,0.5628,-0.0945,0.10519999999999996,0.19169999999999998
